City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rovaniemi,75,FI,1567691023,76,66.5,25.72,53.6,8.05
1,busselton,0,AU,1567691024,59,-33.64,115.35,44.01,10.69
2,villanueva,0,HN,1567691024,83,15.32,-87.99,84.99,5.82
3,chengzihe,98,CN,1567691024,95,45.35,131.0,62.15,4.16
4,goundam,15,ML,1567691025,25,16.42,-3.66,101.93,11.63
5,jamestown,66,AU,1567690768,82,-33.21,138.6,45.23,13.15
6,kant,75,KG,1567691025,35,42.89,74.85,73.4,15.66
7,bagdarin,86,RU,1567691025,93,54.44,113.59,49.55,2.66
8,tame,73,CO,1567691025,73,6.46,-71.72,64.31,6.38
9,charlestown,1,US,1567691026,63,41.38,-71.64,66.2,8.05
10,port alfred,100,ZA,1567691026,70,-33.59,26.89,60.01,4.0
11,nanortalik,100,GL,1567691026,76,60.14,-45.24,42.71,5.01
12,batticaloa,77,LK,1567691027,69,7.71,81.69,80.15,4.41
13,albany,20,US,1567690987,72,42.65,-73.75,64.0,5.82
14,lasa,40,CY,1567691027,66,34.92,32.53,86.0,11.41
15,mataura,100,NZ,1567691027,93,-46.19,168.86,46.0,3.0
16,vaini,75,IN,1567691028,94,15.34,74.49,73.4,11.41
17,rikitea,62,PF,1567691028,86,-23.12,-134.97,70.97,21.59
18,atuona,0,PF,1567691028,76,-9.8,-139.03,78.35,13.91
19,lavrentiya,83,RU,1567691028,97,65.58,-170.99,42.71,6.96
20,riyadh,66,SA,1567691029,9,24.63,46.72,109.4,8.05
21,axim,97,GH,1567691029,84,4.87,-2.24,78.17,14.5
22,talara,40,PE,1567691029,290,-4.58,-81.27,62.6,16.11
23,hermanus,0,ZA,1567691029,79,-34.42,19.24,73.0,17.0
24,saldanha,0,PT,1567691029,23,41.42,-6.55,78.89,13.18
25,kavieng,100,PG,1567691030,78,-2.57,150.8,80.33,8.01
26,tuktoyaktuk,20,CA,1567691030,93,69.44,-133.03,39.2,4.7
27,pisco,90,PE,1567691030,30,-13.71,-76.2,71.6,3.36
28,faanui,70,PF,1567691031,83,-16.48,-151.75,76.73,23.09
29,dali,1,CN,1567691031,46,34.79,109.94,74.57,8.32
30,petropavlovsk-kamchatskiy,15,RU,1567691031,93,53.05,158.65,48.2,4.47
31,grand-santi,18,GF,1567691031,44,4.27,-54.38,91.13,5.97
32,nikolskoye,40,RU,1567691032,46,59.7,30.79,72.0,15.66
33,praia da vitoria,75,PT,1567691032,83,38.73,-27.07,71.6,20.76
34,yellowknife,90,CA,1567690881,100,62.45,-114.38,46.4,4.7
35,punta arenas,20,CL,1567691032,56,-53.16,-70.91,39.2,6.93
36,san patricio,100,PY,1567691033,51,-26.98,-56.83,61.25,7.2
